     78.12 4.475524e+03 6.274510e+02 2.159509e+03 1.018750e+01
    117.19 4.923077e+03 6.666667e+02 2.520286e+03 6.546875e+00
    156.25 5.485714e+03 6.564103e+02 2.760784e+03 4.781250e+00
    195.31 5.000000e+03 6.153846e+02 2.707692e+03 2.031250e+00
    292.97 5.217391e+03 7.500000e+02 3.069767e+03 2.687500e+00
    390.62 6.400000e+03 8.000000e+02 3.352381e+03 3.281250e-01
    781.25 5.818182e+03 8.000000e+02 3.520000e+03 6.250000e-01
   1562.50 5.120000e+03 7.529412e+02 3.236782e+03 1.359375e+00
   3125.00 5.120000e+03 9.846154e+02 3.657143e+03 2.406250e+00
   7812.50 4.723247e+03 8.707483e+02 3.344418e+03 6.578125e+00
  15625.00 4.129032e+03 8.000000e+02 2.995745e+03 1.468750e+00
  31250.00 3.908397e+03 8.258065e+02 2.903093e+03 3.031250e+00
  46875.00 3.938462e+03 8.258065e+02 2.933333e+03 4.500000e+00
  62500.00 3.984436e+03 7.314286e+02 2.830151e+03 6.218750e+00
 117187.50 3.840000e+03 8.000000e+02 2.850202e+03 1.157812e+01
